frame,time_s,state,motion_energy,crowding_pct,mortality_alerts_active,mortality_alerts_cumulative,kinetic_energy_smooth
355,14.851,CROWDING,8.7409,27.99,1,2,8.513322222222222
356,14.893,CROWDING,10.0496,28.17,1,2,8.495622222222222
357,14.935,CROWDING,10.3604,28.17,1,2,8.480075555555556
358,14.976,CROWDING,9.5747,28.36,1,2,8.475617777777778
359,15.018,CROWDING,8.9626,28.49,1,2,8.447173333333334
360,15.06,CROWDING,9.147,28.46,1,2,8.42858
361,15.102,CROWDING,8.4648,28.43,1,2,8.402824444444445
362,15.144,CROWDING,8.3105,28.37,1,3,9.34562888888889
363,15.186,CROWDING,7.847,28.12,1,3,9.319633333333334
364,15.227,CROWDING,8.4852,27.76,1,3,9.293302222222222
365,15.269,CROWDING,8.628,27.5,1,3,9.268246666666666
366,15.311,CROWDING,8.6662,27.32,1,3,9.257557777777777
367,15.353,CROWDING,8.5243,27.19,1,3,9.237782222222222
368,15.395,CROWDING,8.9285,27.01,1,3,9.21516
369,15.437,CROWDING,8.3581,26.88,1,3,9.179875555555556
370,15.478,CROWDING,8.1026,26.72,1,3,9.151275555555555
371,15.52,CROWDING,8.1526,26.59,1,3,9.127282222222222
372,15.562,CROWDING,8.6018,26.36,1,3,9.10787111111111
373,15.604,CALM,8.3421,26.2,1,3,9.086248888888889
374,15.646,CALM,8.2616,26.1,1,3,9.081117777777779
375,15.688,CALM,7.7867,25.91,1,3,9.064917777777778
376,15.729,CALM,8.155,25.61,1,3,9.038095555555556
377,15.771,CALM,8.0034,25.25,1,3,9.01790888888889
378,15.813,CALM,7.8202,24.88,1,3,9.003724444444444
379,15.855,CALM,7.593,24.68,1,3,8.954566666666667
380,15.897,CALM,7.7989,24.4,1,3,8.902026666666668
381,15.939,CALM,7.4247,24.16,1,3,8.86170888888889
382,15.98,CALM,6.9508,23.98,1,3,8.849357777777778
383,16.022,CALM,6.4326,24.03,1,3,8.827997777777778
384,16.064,STRESS,50.3873,23.61,1,3,8.8059
385,16.106,STRESS,7.191,23.48,1,3,8.78208888888889
386,16.148,STRESS,7.2669,23.62,1,3,8.785975555555556
387,16.19,STRESS,7.1691,23.62,1,3,8.770544444444445
388,16.231,STRESS,7.6608,23.42,1,3,8.753524444444444
389,16.273,STRESS,8.0043,23.19,1,3,8.736633333333334
390,16.315,STRESS,7.0833,23.0,1,3,8.746244444444445
391,16.357,STRESS,6.8,22.86,1,3,8.744795555555555
392,16.399,STRESS,7.5495,22.69,1,3,8.750135555555556
393,16.441,STRESS,7.944,22.5,1,3,8.761231111111112
394,16.482,STRESS,8.2692,22.61,1,3,8.774548888888889
395,16.524,STRESS,7.7698,22.46,1,3,8.766395555555556
396,16.566,STRESS,7.9402,22.45,1,3,8.754900000000001
397,16.608,STRESS,7.9433,22.36,1,3,8.73851111111111
398,16.65,STRESS,7.0169,22.38,1,3,8.756735555555556
399,16.692,CALM,7.3365,22.33,1,3,8.778731111111112
400,16.733,CALM,8.1026,22.33,1,3,8.803042222222222
401,16.775,CALM,7.8375,22.22,1,3,8.825037777777778
402,16.817,CALM,7.9961,22.14,1,3,8.869079999999999
403,16.859,CALM,7.7604,21.86,1,3,8.898822222222222
404,16.901,CALM,8.4068,21.68,1,3,8.928233333333335
405,16.943,CALM,8.1858,21.81,1,3,8.958862222222223
406,16.984,CALM,7.4704,21.88,1,3,9.018491111111112
407,17.026,CALM,7.239,21.91,1,3,8.108253333333334
408,17.068,CALM,8.0219,21.88,1,3,8.15074
409,17.11,CALM,7.7908,21.95,1,3,8.18890888888889
410,17.152,CALM,7.8621,21.93,1,3,8.24262888888889
411,17.194,CALM,7.9061,21.9,1,3,8.276477777777778
412,17.235,CALM,8.9568,21.87,1,3,8.292575555555556
413,17.277,CALM,8.8633,21.89,1,3,8.319097777777777
414,17.319,CALM,8.5984,21.95,1,3,8.360453333333332
415,17.361,CALM,8.6019,21.97,1,3,8.386964444444443
416,17.403,CALM,8.7519,21.89,1,3,8.398837777777779
417,17.445,CALM,8.2349,22.07,1,3,8.400002222222223
418,17.486,CALM,7.8248,22.0,1,3,8.419048888888888
419,17.528,CALM,7.5241,21.9,1,3,8.42535111111111
420,17.57,CALM,8.6068,21.81,1,3,8.427491111111111
421,17.612,CALM,9.1448,21.97,1,3,8.45386
422,17.654,CALM,9.0974,21.86,1,3,8.485284444444444
423,17.696,CALM,8.81,21.73,1,3,8.49819111111111
424,17.737,CALM,9.5749,21.52,1,3,8.506780000000001
425,17.779,CALM,9.1373,21.36,1,3,8.49990888888889
426,17.821,CALM,8.7482,21.21,1,3,8.508773333333332
427,17.863,CALM,8.3291,21.16,1,3,8.491291111111112
428,17.905,CALM,9.1159,20.9,1,3,8.480202222222223
429,17.947,CALM,9.4266,21.0,1,3,8.501213333333332
430,17.988,CALM,9.1029,20.72,1,3,8.553466666666667
431,18.03,CALM,8.9845,20.64,1,3,8.611582222222223
432,18.072,CALM,9.5865,20.58,1,3,8.66684888888889
433,18.114,CALM,9.184,20.47,1,3,8.706628888888888
434,18.156,CALM,8.7287,20.57,1,3,8.742842222222222
435,18.198,CALM,8.2768,20.64,1,3,8.739588888888889
436,18.239,CALM,8.661,20.67,1,3,8.74882888888889
437,18.281,CALM,8.7425,20.83,1,3,8.77372
438,18.323,CALM,8.4783,21.03,1,3,8.808333333333334
439,18.365,CALM,8.3216,20.94,1,3,8.838877777777778
440,18.407,CALM,8.6269,20.99,1,3,8.860993333333333
